,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
196,house,sector 57,7.25,9,9,3+,New Property,2700.0,0,1,0,1,1,1,LOW,Low Floor
197,flat,sector 61,2.1,3,2,3,Relatively New,1534.0,0,0,0,0,0,0,MODERATE,Mid Floor
198,flat,sector 23,0.16,2,2,2,Moderately Old,706.0,0,0,0,0,0,0,LOW,Low Floor
199,house,sector 56,4.0,4,4,3+,Relatively New,1503.0,0,0,0,0,0,1,LOW,Low Floor
200,flat,sector 102,2.2,3,4,3+,Relatively New,1186.0,1,1,0,0,0,1,LOW,High Floor
201,house,sector 36,0.75,3,1,0,New Property,1081.0,0,0,0,0,0,0,LOW,Low Floor
202,flat,sector 92,0.6,2,2,3,Under Construction,1195.0,0,0,0,0,1,0,LOW,High Floor
203,flat,sector 2,3.35,4,4,3+,New Property,5000.0,1,0,0,0,0,0,MODERATE,Low Floor
204,house,sector 14,6.5,5,5,0,Moderately Old,2500.0,0,0,0,0,0,0,LOW,Mid Floor
205,flat,sector 68,1.32,2,2,3,Relatively New,1364.0,1,0,0,0,0,0,MODERATE,High Floor
206,house,sector 7,8.0,4,5,3+,Old Property,3600.0,1,1,0,1,0,0,LOW,Low Floor
207,flat,sector 63a,1.55,2,2,2,Under Construction,1167.0,0,0,0,0,0,0,LOW,Low Floor
208,flat,sohna road,0.5,2,2,2,New Property,591.0,0,0,0,0,0,0,LOW,Mid Floor
209,flat,sector 107,0.51,3,2,2,Relatively New,717.0,0,0,0,0,1,0,LOW,Mid Floor
210,house,sector 50,7.42,4,4,3,Old Property,3200.0,0,0,0,0,0,1,MODERATE,Low Floor
211,house,sector 9,3.2,3,3,2,Old Property,2367.0,0,0,0,0,0,1,LOW,Low Floor
212,flat,sector 92,1.5,3,3,3,Relatively New,1738.0,0,0,0,0,1,0,LOW,Mid Floor
213,house,sector 4,0.8,2,3,1,Moderately Old,675.0,0,0,0,0,0,0,LOW,Low Floor
214,house,sector 48,4.95,7,7,3+,Old Property,2403.0,1,1,1,1,0,1,MODERATE,Low Floor
215,flat,sector 28,2.2,3,4,3+,Moderately Old,1956.0,0,1,0,0,0,2,LOW,Mid Floor
216,flat,sector 85,1.24,2,2,3,Relatively New,1730.0,0,0,0,0,0,0,LOW,Mid Floor
217,flat,sector 113,1.75,2,2,3,Relatively New,1424.0,1,0,0,0,0,0,MODERATE,Mid Floor
218,house,sector 39,7.0,10,11,3+,Relatively New,7000.0,0,0,0,1,0,2,LOW,Mid Floor
